Precinct,Annissa Essaibi George,Annissa Essaibi George Percent,Richard Spagnuolo,Richard Spagnuolo Percent,Andrea Campbell,Andrea Campbell Percent,Kim Janey,Kim Janey Percent,Michelle Wu,Michelle Wu Percent,Jon Santiago,Jon Santiago Percent,Robert Cappucci,Robert Cappucci Percent,John Barros,John Barros Percent,Total Votes,Unresolved Write-In,Unresolved Write-In Percent,WARD_PRECINCT
"WARD 14, PRECINCT 6",13,5.8,0,0,67,29.91,103,45.98,28,12.5,0,0,0,0,12,5.36,224,1,0.45,1406
"WARD 14, PRECINCT 7",12,5.29,0,0,74,32.6,99,43.61,32,14.1,3,1.32,0,0,7,3.08,227,0,0,1407
"WARD 14, PRECINCT 8",23,7.32,0,0,92,29.3,143,45.54,49,15.61,0,0,1,0.32,5,1.59,314,1,0.32,1408
"WARD 14, PRECINCT 9",11,5.21,1,0.47,53,25.12,101,47.87,31,14.69,1,0.47,0,0,12,5.69,211,1,0.47,1409
"WARD 14, PRECINCT 10",16,5.71,1,0.36,77,27.5,127,45.36,43,15.36,2,0.71,0,0,14,5,280,0,0,1410
"WARD 14, PRECINCT 11",13,4.59,3,1.06,88,31.1,134,47.35,33,11.66,0,0,0,0,12,4.24,283,0,0,1411
"WARD 14, PRECINCT 12",5,3.07,0,0,38,23.31,92,56.44,21,12.88,0,0,0,0,7,4.29,163,0,0,1412
"WARD 14, PRECINCT 13",11,4.62,0,0,73,30.67,120,50.42,30,12.61,0,0,0,0,4,1.68,238,0,0,1413
"WARD 14, PRECINCT 14",15,5.75,0,0,67,25.67,142,54.41,32,12.26,2,0.77,1,0.38,2,0.77,261,0,0,1414
"WARD 15, PRECINCT 1",30,9.84,0,0,55,18.03,133,43.61,44,14.43,0,0,0,0,41,13.44,305,2,0.66,1501
"WARD 15, PRECINCT 2",20,9.57,0,0,42,20.1,90,43.06,23,11,0,0,2,0.96,32,15.31,209,0,0,1502
"WARD 15, PRECINCT 3",16,11.76,0,0,21,15.44,47,34.56,26,19.12,0,0,0,0,26,19.12,136,0,0,1503
"WARD 15, PRECINCT 4",25,7.08,0,0,70,19.83,123,34.84,50,14.16,3,0.85,2,0.57,80,22.66,353,0,0,1504
"WARD 15, PRECINCT 5",21,7.37,0,0,69,24.21,116,40.7,43,15.09,1,0.35,0,0,35,12.28,285,0,0,1505
"WARD 15, PRECINCT 6",73,35.61,2,0.98,26,12.68,28,13.66,61,29.76,2,0.98,5,2.44,8,3.9,205,0,0,1506
"WARD 15, PRECINCT 7",25,10.12,1,0.4,53,21.46,78,31.58,48,19.43,0,0,0,0,41,16.6,247,1,0.4,1507
"WARD 15, PRECINCT 8",38,17.04,5,2.24,38,17.04,66,29.6,53,23.77,0,0,1,0.45,21,9.42,223,1,0.45,1508
"WARD 15, PRECINCT 9",25,12.32,0,0,46,22.66,49,24.14,59,29.06,1,0.49,1,0.49,22,10.84,203,0,0,1509
"WARD 16, PRECINCT 1",52,20.47,0,0,68,26.77,53,20.87,69,27.17,1,0.39,1,0.39,10,3.94,254,0,0,1601
"WARD 16, PRECINCT 2",139,47.28,1,0.34,41,13.95,21,7.14,78,26.53,1,0.34,2,0.68,10,3.4,294,1,0.34,1602
"WARD 16, PRECINCT 3",46,13.18,0,0,117,33.52,91,26.07,79,22.64,4,1.15,2,0.57,10,2.87,349,0,0,1603
"WARD 16, PRECINCT 4",72,22.22,0,0,71,21.91,67,20.68,94,29.01,0,0,3,0.93,16,4.94,324,1,0.31,1604
"WARD 16, PRECINCT 5",183,44.2,1,0.24,70,16.91,50,12.08,104,25.12,0,0,1,0.24,5,1.21,414,0,0,1605
"WARD 16, PRECINCT 6",110,24.55,0,0,100,22.32,98,21.88,110,24.55,0,0,4,0.89,24,5.36,448,2,0.45,1606
"WARD 16, PRECINCT 7",343,62.94,0,0,53,9.72,43,7.89,83,15.23,0,0,3,0.55,19,3.49,545,1,0.18,1607
"WARD 16, PRECINCT 8",297,48.61,0,0,108,17.68,52,8.51,126,20.62,0,0,5,0.82,23,3.76,611,0,0,1608
"WARD 16, PRECINCT 9",533,74.75,0,0,55,7.71,24,3.37,80,11.22,3,0.42,2,0.28,16,2.24,713,0,0,1609
"WARD 16, PRECINCT 10",343,68.6,0,0,37,7.4,24,4.8,75,15,0,0,9,1.8,11,2.2,500,1,0.2,1610
"WARD 16, PRECINCT 11",331,55.63,1,0.17,90,15.13,61,10.25,92,15.46,0,0,1,0.17,19,3.19,595,0,0,1611
"WARD 16, PRECINCT 12",598,79.84,2,0.27,39,5.21,39,5.21,51,6.81,1,0.13,3,0.4,15,2,749,1,0.13,1612
"WARD 17, PRECINCT 1",9,3.47,1,0.39,65,25.1,125,48.26,38,14.67,1,0.39,0,0,20,7.72,259,0,0,1701
"WARD 17, PRECINCT 2",13,6.34,0,0,66,32.2,76,37.07,29,14.15,0,0,1,0.49,20,9.76,205,0,0,1702
"WARD 17, PRECINCT 3",35,7,0,0,168,33.6,189,37.8,82,16.4,2,0.4,2,0.4,21,4.2,500,1,0.2,1703
"WARD 17, PRECINCT 4",81,13.04,1,0.16,170,27.38,203,32.69,132,21.26,1,0.16,2,0.32,31,4.99,621,0,0,1704
"WARD 17, PRECINCT 5",15,8.06,0,0,52,27.96,95,51.08,23,12.37,0,0,0,0,1,0.54,186,0,0,1705
"WARD 17, PRECINCT 6",48,12.37,0,0,142,36.6,100,25.77,80,20.62,1,0.26,1,0.26,16,4.12,388,0,0,1706
"WARD 17, PRECINCT 7",10,5.71,0,0,59,33.71,79,45.14,21,12,0,0,0,0,6,3.43,175,0,0,1707
"WARD 17, PRECINCT 8",23,7.47,0,0,114,37.01,120,38.96,47,15.26,0,0,0,0,4,1.3,308,0,0,1708
"WARD 17, PRECINCT 9",25,6.38,0,0,205,52.3,80,20.41,71,18.11,1,0.26,1,0.26,9,2.3,392,0,0,1709
"WARD 17, PRECINCT 10",14,3.98,0,0,120,34.09,161,45.74,44,12.5,0,0,2,0.57,10,2.84,352,1,0.28,1710
"WARD 17, PRECINCT 11",15,8.11,1,0.54,71,38.38,53,28.65,31,16.76,0,0,2,1.08,12,6.49,185,0,0,1711
"WARD 17, PRECINCT 12",39,12.54,0,0,85,27.33,141,45.34,33,10.61,0,0,0,0,13,4.18,311,0,0,1712
"WARD 17, PRECINCT 13",152,31.08,0,0,111,22.7,97,19.84,110,22.49,1,0.2,5,1.02,13,2.66,489,0,0,1713
"WARD 17, PRECINCT 14",83,17.4,0,0,170,35.64,104,21.8,101,21.17,0,0,1,0.21,16,3.35,477,2,0.42,1714
"WARD 18, PRECINCT 1",42,7.06,1,0.17,194,32.61,281,47.23,58,9.75,0,0,1,0.17,18,3.03,595,0,0,1801
"WARD 18, PRECINCT 2",18,5.33,0,0,75,22.19,188,55.62,49,14.5,1,0.3,0,0,6,1.78,338,1,0.3,1802
"WARD 18, PRECINCT 3",33,7.59,0,0,82,18.85,247,56.78,69,15.86,0,0,1,0.23,3,0.69,435,0,0,1803
"WARD 18, PRECINCT 4",27,5.65,0,0,125,26.15,238,49.79,84,17.57,0,0,0,0,4,0.84,478,0,0,1804
"WARD 18, PRECINCT 5",41,7.3,1,0.18,102,18.15,318,56.58,83,14.77,3,0.53,1,0.18,13,2.31,562,0,0,1805
"WARD 18, PRECINCT 6",35,5.46,0,0,132,20.59,366,57.1,94,14.66,0,0,1,0.16,13,2.03,641,0,0,1806
"WARD 18, PRECINCT 7",60,13.04,1,0.22,134,29.13,120,26.09,134,29.13,3,0.65,1,0.22,7,1.52,460,0,0,1807
"WARD 18, PRECINCT 8",102,13.6,2,0.27,99,13.2,348,46.4,176,23.47,2,0.27,2,0.27,18,2.4,750,1,0.13,1808
"WARD 18, PRECINCT 9",113,20,1,0.18,108,19.12,104,18.41,224,39.65,3,0.53,4,0.71,8,1.42,565,0,0,1809
"WARD 18, PRECINCT 10",152,17.47,0,0,157,18.05,90,10.34,454,52.18,1,0.11,3,0.34,13,1.49,870,0,0,1810
"WARD 18, PRECINCT 11",41,12.09,2,0.59,63,18.58,120,35.4,106,31.27,0,0,1,0.29,6,1.77,339,0,0,1811
"WARD 18, PRECINCT 12",105,21.34,0,0,85,17.28,132,26.83,157,31.91,0,0,6,1.22,7,1.42,492,0,0,1812
"WARD 18, PRECINCT 13",43,17.55,0,0,46,18.78,83,33.88,66,26.94,2,0.82,0,0,5,2.04,245,0,0,1813
"WARD 18, PRECINCT 14",35,13.21,0,0,63,23.77,105,39.62,56,21.13,1,0.38,1,0.38,4,1.51,265,0,0,1814
"WARD 18, PRECINCT 15",38,8.48,0,0,105,23.44,195,43.53,95,21.21,1,0.22,1,0.22,12,2.68,448,1,0.22,1815
"WARD 18, PRECINCT 16",291,39.86,0,0,114,15.62,110,15.07,185,25.34,0,0,17,2.33,13,1.78,730,0,0,1816
"WARD 18, PRECINCT 17",142,29.58,2,0.42,65,13.54,144,30,105,21.88,4,0.83,1,0.21,17,3.54,480,0,0,1817
"WARD 18, PRECINCT 18",132,23.87,3,0.54,61,11.03,187,33.82,142,25.68,4,0.72,14,2.53,10,1.81,553,0,0,1818
"WARD 18, PRECINCT 19",206,26.86,1,0.13,124,16.17,223,29.07,186,24.25,2,0.26,6,0.78,19,2.48,767,0,0,1819
"WARD 18, PRECINCT 20",373,50.41,0,0,61,8.24,120,16.22,171,23.11,1,0.14,9,1.22,4,0.54,740,1,0.14,1820
"WARD 18, PRECINCT 21",15,2.6,0,0,133,23.09,333,57.81,85,14.76,3,0.52,1,0.17,6,1.04,576,0,0,1821
"WARD 18, PRECINCT 22",278,37.52,0,0,116,15.65,98,13.23,232,31.31,5,0.67,2,0.27,10,1.35,741,0,0,1822
"WARD 18, PRECINCT 23",22,8.3,0,0,33,12.45,125,47.17,77,29.06,2,0.75,1,0.38,5,1.89,265,0,0,1823
"WARD 19, PRECINCT 1",24,4.37,0,0,159,28.96,86,15.66,273,49.73,0,0,2,0.36,5,0.91,549,0,0,1901
"WARD 19, PRECINCT 2",136,17.92,1,0.13,215,28.33,93,12.25,277,36.5,2,0.26,7,0.92,27,3.56,759,1,0.13,1902
"WARD 19, PRECINCT 3",25,5.09,1,0.2,145,29.53,55,11.2,245,49.9,0,0,2,0.41,18,3.67,491,0,0,1903
"WARD 19, PRECINCT 4",35,5.34,1,0.15,205,31.25,87,13.26,319,48.63,0,0,0,0,8,1.22,656,1,0.15,1904
"WARD 19, PRECINCT 5",43,7.62,0,0,165,29.26,69,12.23,277,49.11,2,0.35,0,0,8,1.42,564,0,0,1905
"WARD 19, PRECINCT 6",52,6.67,1,0.13,256,32.82,75,9.62,380,48.72,1,0.13,0,0,15,1.92,780,0,0,1906
"WARD 19, PRECINCT 7",45,6.81,0,0,192,29.05,93,14.07,315,47.66,0,0,2,0.3,14,2.12,661,0,0,1907
"WARD 19, PRECINCT 8",33,7.86,0,0,152,36.19,36,8.57,188,44.76,1,0.24,2,0.48,8,1.9,420,0,0,1908
"WARD 19, PRECINCT 9",17,4.49,0,0,124,32.72,40,10.55,191,50.4,0,0,1,0.26,6,1.58,379,0,0,1909
"WARD 19, PRECINCT 10",89,12.48,2,0.28,135,18.93,105,14.73,361,50.63,2,0.28,5,0.7,14,1.96,713,0,0,1910
"WARD 19, PRECINCT 11",31,8.05,0,0,58,15.06,109,28.31,180,46.75,0,0,2,0.52,5,1.3,385,0,0,1911
"WARD 19, PRECINCT 12",63,11.62,1,0.18,196,36.16,62,11.44,208,38.38,2,0.37,5,0.92,5,0.92,542,0,0,1912
"WARD 19, PRECINCT 13",46,13.94,1,0.3,60,18.18,74,22.42,138,41.82,2,0.61,2,0.61,7,2.12,330,0,0,1913
"WARD 20, PRECINCT 1",168,26.54,0,0,123,19.43,52,8.21,271,42.81,1,0.16,7,1.11,11,1.74,633,0,0,2001
"WARD 20, PRECINCT 2",144,21.4,1,0.15,137,20.36,52,7.73,325,48.29,0,0,1,0.15,13,1.93,673,0,0,2002
"WARD 20, PRECINCT 3",236,41.62,1,0.18,51,8.99,69,12.17,183,32.28,1,0.18,21,3.7,4,0.71,567,1,0.18,2003
"WARD 20, PRECINCT 4",63,10.28,0,0,166,27.08,50,8.16,321,52.37,1,0.16,4,0.65,8,1.31,613,0,0,2004
"WARD 20, PRECINCT 5",367,48.87,8,1.07,75,9.99,53,7.06,216,28.76,0,0,14,1.86,16,2.13,751,2,0.27,2005
"WARD 20, PRECINCT 6",315,36.29,0,0,146,16.82,56,6.45,315,36.29,2,0.23,16,1.84,16,1.84,868,2,0.23,2006
"WARD 20, PRECINCT 7",185,34.45,2,0.37,115,21.42,26,4.84,188,35.01,0,0,14,2.61,7,1.3,537,0,0,2007
"WARD 20, PRECINCT 8",126,25.71,0,0,102,20.82,28,5.71,220,44.9,0,0,9,1.84,5,1.02,490,0,0,2008
"WARD 20, PRECINCT 9",167,28.99,0,0,85,14.76,41,7.12,264,45.83,0,0,8,1.39,10,1.74,576,1,0.17,2009
"WARD 20, PRECINCT 10",409,47.61,0,0,125,14.55,57,6.64,249,28.99,1,0.12,9,1.05,8,0.93,859,1,0.12,2010
"WARD 20, PRECINCT 11",170,37.53,0,0,69,15.23,20,4.42,170,37.53,3,0.66,8,1.77,13,2.87,453,0,0,2011
"WARD 20, PRECINCT 12",264,45.28,0,0,101,17.32,37,6.35,155,26.59,2,0.34,8,1.37,15,2.57,583,1,0.17,2012
"WARD 20, PRECINCT 13",246,47.95,0,0,59,11.5,34,6.63,161,31.38,0,0,6,1.17,7,1.36,513,0,0,2013
"WARD 20, PRECINCT 14",293,52.89,0,0,66,11.91,18,3.25,143,25.81,1,0.18,17,3.07,16,2.89,554,0,0,2014
"WARD 20, PRECINCT 15",324,48.94,0,0,53,8.01,46,6.95,205,30.97,1,0.15,14,2.11,19,2.87,662,0,0,2015
"WARD 20, PRECINCT 16",401,51.21,1,0.13,70,8.94,62,7.92,213,27.2,2,0.26,15,1.92,18,2.3,783,1,0.13,2016
"WARD 20, PRECINCT 17",458,49.14,0,0,136,14.59,42,4.51,256,27.47,1,0.11,15,1.61,24,2.58,932,0,0,2017
"WARD 20, PRECINCT 18",192,39.59,0,0,94,19.38,36,7.42,147,30.31,2,0.41,6,1.24,7,1.44,485,1,0.21,2018
"WARD 20, PRECINCT 19",267,53.08,1,0.2,80,15.9,11,2.19,125,24.85,0,0,4,0.8,15,2.98,503,0,0,2019
"WARD 20, PRECINCT 20",280,39.11,0,0,94,13.13,55,7.68,244,34.08,3,0.42,17,2.37,23,3.21,716,0,0,2020
"WARD 21, PRECINCT 1",39,13.64,2,0.7,59,20.63,25,8.74,150,52.45,1,0.35,1,0.35,9,3.15,286,0,0,2101
"WARD 21, PRECINCT 2",4,8.7,0,0,12,26.09,2,4.35,25,54.35,1,2.17,0,0,2,4.35,46,0,0,2102
"WARD 21, PRECINCT 3",12,7.89,0,0,26,17.11,15,9.87,92,60.53,1,0.66,0,0,6,3.95,152,0,0,2103
"WARD 21, PRECINCT 4",12,9.23,0,0,23,17.69,11,8.46,83,63.85,0,0,0,0,1,0.77,130,0,0,2104
"WARD 21, PRECINCT 5",11,4.68,0,0,46,19.57,21,8.94,146,62.13,0,0,1,0.43,10,4.26,235,0,0,2105
"WARD 21, PRECINCT 6",33,12.5,1,0.38,47,17.8,25,9.47,145,54.92,1,0.38,4,1.52,8,3.03,264,0,0,2106
"WARD 21, PRECINCT 7",27,10,1,0.37,54,20,31,11.48,146,54.07,3,1.11,3,1.11,5,1.85,270,0,0,2107
"WARD 21, PRECINCT 8",12,4.23,2,0.7,61,21.48,31,10.92,171,60.21,0,0,3,1.06,4,1.41,284,0,0,2108
"WARD 21, PRECINCT 9",37,11.97,1,0.32,65,21.04,39,12.62,158,51.13,0,0,3,0.97,6,1.94,309,0,0,2109
"WARD 21, PRECINCT 10",18,7.5,2,0.83,32,13.33,47,19.58,130,54.17,0,0,4,1.67,7,2.92,240,0,0,2110
"WARD 21, PRECINCT 11",25,8.33,0,0,54,18,29,9.67,178,59.33,1,0.33,5,1.67,7,2.33,300,1,0.33,2111
"WARD 21, PRECINCT 12",43,13.78,1,0.32,67,21.47,75,24.04,107,34.29,0,0,14,4.49,5,1.6,312,0,0,2112
"WARD 21, PRECINCT 13",67,12.67,2,0.38,58,10.96,154,29.11,229,43.29,2,0.38,10,1.89,7,1.32,529,0,0,2113
"WARD 21, PRECINCT 14",16,9.36,0,0,38,22.22,16,9.36,93,54.39,0,0,2,1.17,6,3.51,171,0,0,2114
"WARD 21, PRECINCT 15",13,5.83,2,0.9,38,17.04,17,7.62,150,67.26,1,0.45,1,0.45,1,0.45,223,0,0,2115
"WARD 21, PRECINCT 16",46,11.56,0,0,93,23.37,49,12.31,189,47.49,2,0.5,6,1.51,13,3.27,398,0,0,2116
"WARD 22, PRECINCT 1",71,18.98,1,0.27,64,17.11,37,9.89,187,50,0,0,6,1.6,8,2.14,374,0,0,2201
"WARD 22, PRECINCT 2",65,13.77,0,0,64,13.56,46,9.75,277,58.69,1,0.21,10,2.12,9,1.91,472,0,0,2202
"WARD 22, PRECINCT 3",91,21.72,0,0,69,16.47,40,9.55,208,49.64,0,0,6,1.43,5,1.19,419,0,0,2203
"WARD 22, PRECINCT 4",56,15.6,3,0.84,58,16.16,33,9.19,190,52.92,1,0.28,8,2.23,9,2.51,359,1,0.28,2204
"WARD 22, PRECINCT 5",36,16.9,1,0.47,38,17.84,20,9.39,108,50.7,0,0,8,3.76,2,0.94,213,0,0,2205
"WARD 22, PRECINCT 6",48,20.08,1,0.42,47,19.67,20,8.37,110,46.03,2,0.84,3,1.26,8,3.35,239,0,0,2206
"WARD 22, PRECINCT 7",75,19.08,0,0,70,17.81,28,7.12,204,51.91,2,0.51,8,2.04,6,1.53,393,0,0,2207
"WARD 22, PRECINCT 8",63,21.07,0,0,34,11.37,23,7.69,161,53.85,0,0,8,2.68,10,3.34,299,0,0,2208
"WARD 22, PRECINCT 9",58,19.46,1,0.34,49,16.44,30,10.07,146,48.99,1,0.34,9,3.02,4,1.34,298,0,0,2209
"WARD 22, PRECINCT 10",74,18.41,1,0.25,55,13.68,45,11.19,207,51.49,1,0.25,5,1.24,13,3.23,402,1,0.25,2210
"WARD 22, PRECINCT 11",77,28.21,0,0,37,13.55,17,6.23,135,49.45,0,0,4,1.47,3,1.1,273,0,0,2211
"WARD 22, PRECINCT 12",112,35.33,0,0,39,12.3,30,9.46,126,39.75,0,0,6,1.89,4,1.26,317,0,0,2212
"WARD 22, PRECINCT 13",61,25.96,0,0,33,14.04,19,8.09,109,46.38,0,0,6,2.55,6,2.55,235,1,0.43,2213
Total,24186,22.48,282,0.26,21221,19.72,20946,19.47,35888,33.36,364,0.34,1175,1.09,3436,3.19,107592,94,0.09,1